0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
brown,brown,brown,brown,brown,brown,brass,brown,brass,moss-green,mahogany,mahogany,mahogany,mahogany,mahogany,moss-green,medium-brown,brass,mahogany,mahogany,mahogany,mahogany,moss-green,medium-brown,mahogany,moss-green,medium-brown,moss-green,mahogany,mahogany,mahogany,mahogany,medium-brown,medium-brown,moss-green,mahogany,mahogany,mahogany,mahogany,mahogany,mahogany,medium-brown,moss-green,mahogany,moss-green,brown,brown,brown,brown,brown
brown,brown,brown,brown,brown,moss-green,moss-green,moss-green,brass,mahogany,mahogany,mahogany,mahogany,mahogany,moss-green,medium-brown,brass,mahogany,mahogany,mahogany,mahogany,mahogany,medium-brown,brass,mahogany,mahogany,brass,medium-brown,mahogany,mahogany,mahogany,mahogany,mahogany,brass,medium-brown,moss-green,mahogany,mahogany,mahogany,mahogany,mahogany,moss-green,brass,brown,rosewood,brown,brown,brown,brown,brown
brown,brown,brown,brown,brown,rosewood,brown,brass,moss-green,mahogany,mahogany,mahogany,mahogany,mahogany,medium-brown,brass,mahogany,mahogany,mahogany,mahogany,mahogany,brass,medium-brown,mahogany,mahogany,mahogany,mahogany,medium-brown,rosewood,mahogany,mahogany,mahogany,mahogany,mahogany,brass,medium-brown,moss-green,mahogany,mahogany,mahogany,mahogany,mahogany,brass,moss-green,moss-green,moss-green,brown,brown,brown,brown
brown,brown,brown,brown,mahogany,moss-green,mahogany,brass,mahogany,mahogany,mahogany,mahogany,mahogany,medium-brown,medium-brown,mahogany,mahogany,mahogany,mahogany,mahogany,moss-green,medium-brown,moss-green,mahogany,mahogany,mahogany,mahogany,rosewood,medium-brown,mahogany,mahogany,mahogany,mahogany,mahogany,mahogany,brass,brass,mahogany,mahogany,mahogany,mahogany,mahogany,rosewood,brass,brown,brass,brown,brown,brown,brown
brown,brown,brown,brown,moss-green,mahogany,rosewood,brass,mahogany,mahogany,mahogany,mahogany,moss-green,medium-brown,moss-green,mahogany,mahogany,mahogany,mahogany,mahogany,medium-brown,brass,mahogany,mahogany,mahogany,mahogany,mahogany,mahogany,brass,brass,mahogany,mahogany,mahogany,mahogany,mahogany,moss-green,medium-brown,rosewood,mahogany,mahogany,mahogany,mahogany,moss-green,brass,mahogany,rosewood,brown,brown,brown,brown
brown,brown,brown,brown,rosewood,brown,brass,moss-green,mahogany,mahogany,mahogany,mahogany,medium-brown,brass,mahogany,mahogany,mahogany,mahogany,mahogany,rosewood,medium-brown,moss-green,mahogany,mahogany,mahogany,mahogany,mahogany,mahogany,moss-green,medium-brown,moss-green,mahogany,mahogany,mahogany,mahogany,mahogany,brass,medium-brown,mahogany,mahogany,mahogany,mahogany,mahogany,medium-brown,moss-green,moss-green,mahogany,brown,brown,brown
brown,brown,brown,brown,brass,brass,brass,medium-brown,brass,moss-green,mahogany,moss-green,medium-brown,moss-green,mahogany,mahogany,mahogany,mahogany,mahogany,medium-brown,brass,mahogany,mahogany,mahogany,mahogany,mahogany,mahogany,mahogany,mahogany,brass,brass,mahogany,mahogany,mahogany,mahogany,mahogany,moss-green,medium-brown,moss-green,mahogany,moss-green,rosewood,brass,medium-brown,brass,brass,rosewood,brown,brown,brown
brown,brown,brown,rosewood,brass,moss-green,mahogany,moss-green,rosewood,medium-brown,brass,brass,medium-brown,mahogany,mahogany,mahogany,mahogany,mahogany,brass,medium-brown,medium-brown,medium-brown,medium-brown,medium-brown,medium-brown,medium-brown,medium-brown,medium-brown,medium-brown,medium-brown,medium-brown,moss-green,mahogany,mahogany,mahogany,mahogany,mahogany,medium-brown,rosewood,rosewood,medium-brown,rosewood,mahogany,mahogany,mahogany,rosewood,brass,rosewood,brown,brown
brown,brown,rosewood,brass,brown,brown,mahogany,mahogany,mahogany,mahogany,medium-brown,medium-brown,brass,mahogany,mahogany,mahogany,mahogany,moss-green,medium-brown,medium-brown,rosewood,mahogany,medium-brown,medium-brown,medium-brown,medium-brown,medium-brown,brass,moss-green,rosewood,medium-brown,medium-brown,mahogany,mahogany,mahogany,mahogany,mahogany,brass,medium-brown,medium-brown,moss-green,mahogany,mahogany,mahogany,mahogany,brown,rosewood,brass,mahogany,brown
brown,brown,brass,brown,brown,brown,mahogany,mahogany,mahogany,mahogany,moss-green,medium-brown,brass,mahogany,mahogany,mahogany,mahogany,medium-brown,brass,medium-brown,brass,medium-brown,medium-brown,moss-green,mahogany,mahogany,rosewood,medium-brown,brass,moss-green,medium-brown,medium-brown,rosewood,mahogany,mahogany,mahogany,mahogany,rosewood,medium-brown,rosewood,mahogany,mahogany,mahogany,mahogany,mahogany,brown,brown,brass,rosewood,brown
brown,mahogany,brass,brown,brown,brown,brown,mahogany,mahogany,mahogany,mahogany,medium-brown,brass,mahogany,mahogany,mahogany,rosewood,medium-brown,mahogany,medium-brown,medium-brown,medium-brown,mahogany,mahogany,mahogany,mahogany,mahogany,rosewood,medium-brown,medium-brown,medium-brown,rosewood,medium-brown,mahogany,mahogany,mahogany,mahogany,rosewood,medium-brown,brass,brass,rosewood,brass,brass,rosewood,rosewood,rosewood,brass,brass,brown
brown,mahogany,brass,brown,brown,brown,brown,mahogany,mahogany,mahogany,mahogany,medium-brown,brass,mahogany,mahogany,moss-green,medium-brown,moss-green,mahogany,medium-brown,medium-brown,brass,mahogany,mahogany,mahogany,mahogany,mahogany,mahogany,brass,medium-brown,medium-brown,mahogany,medium-brown,rosewood,mahogany,mahogany,mahogany,rosewood,medium-brown,brass,brass,brass,brass,brass,brass,brass,brass,brass,rosewood,brown
brown,mahogany,brass,brown,brown,brown,brown,mahogany,mahogany,mahogany,moss-green,medium-brown,medium-brown,mahogany,mahogany,medium-brown,brass,mahogany,mahogany,medium-brown,medium-brown,brass,mahogany,mahogany,mahogany,mahogany,mahogany,mahogany,brass,medium-brown,medium-brown,mahogany,moss-green,medium-brown,moss-green,mahogany,mahogany,brass,medium-brown,rosewood,mahogany,mahogany,mahogany,mahogany,brown,brown,brown,rosewood,rosewood,brown
brown,brown,brass,rosewood,brown,brown,mahogany,mahogany,mahogany,mahogany,medium-brown,medium-brown,medium-brown,moss-green,brass,medium-brown,moss-green,mahogany,mahogany,medium-brown,medium-brown,medium-brown,mahogany,mahogany,mahogany,mahogany,mahogany,mahogany,medium-brown,medium-brown,medium-brown,mahogany,mahogany,brass,brass,mahogany,mahogany,brass,medium-brown,medium-brown,mahogany,mahogany,mahogany,mahogany,mahogany,brown,mahogany,brass,mahogany,brown
brown,brown,mahogany,brass,rosewood,mahogany,mahogany,mahogany,moss-green,medium-brown,medium-brown,mahogany,medium-brown,brass,medium-brown,rosewood,mahogany,mahogany,mahogany,medium-brown,rosewood,medium-brown,brass,mahogany,mahogany,mahogany,moss-green,medium-brown,medium-brown,moss-green,medium-brown,mahogany,mahogany,moss-green,medium-brown,rosewood,moss-green,medium-brown,rosewood,medium-brown,medium-brown,moss-green,mahogany,brown,brown,moss-green,brass,rosewood,brown,brown
brown,brown,brown,mahogany,brass,brass,medium-brown,medium-brown,medium-brown,brass,mahogany,mahogany,brass,medium-brown,medium-brown,mahogany,mahogany,mahogany,mahogany,medium-brown,moss-green,moss-green,medium-brown,medium-brown,medium-brown,medium-brown,medium-brown,medium-brown,mahogany,moss-green,medium-brown,mahogany,mahogany,mahogany,rosewood,medium-brown,brass,medium-brown,mahogany,moss-green,medium-brown,brass,medium-brown,medium-brown,medium-brown,brass,rosewood,brown,brown,brown
brown,brown,brown,brown,mahogany,moss-green,brass,brass,mahogany,mahogany,mahogany,mahogany,moss-green,medium-brown,medium-brown,medium-brown,brass,brass,brass,medium-brown,medium-brown,brass,medium-brown,medium-brown,medium-brown,medium-brown,medium-brown,brass,brass,medium-brown,medium-brown,brass,brass,brass,medium-brown,medium-brown,medium-brown,rosewood,mahogany,mahogany,mahogany,moss-green,brass,brass,rosewood,brass,brown,brown,brown,brown
brown,brown,brown,brown,brown,moss-green,mahogany,brass,mahogany,mahogany,mahogany,mahogany,mahogany,medium-brown,medium-brown,brass,brass,brass,brass,brass,brass,brass,medium-brown,brass,brass,brass,brass,brass,brass,brass,brass,brass,brass,brass,brass,medium-brown,medium-brown,mahogany,mahogany,mahogany,mahogany,mahogany,rosewood,rosewood,mahogany,rosewood,brown,brown,brown,brown
brown,brown,brown,brown,brown,rosewood,brown,brass,rosewood,mahogany,mahogany,mahogany,mahogany,moss-green,medium-brown,brass,mahogany,mahogany,mahogany,mahogany,mahogany,mahogany,mahogany,mahogany,mahogany,mahogany,mahogany,mahogany,mahogany,mahogany,mahogany,mahogany,mahogany,mahogany,rosewood,medium-brown,moss-green,mahogany,mahogany,mahogany,brown,mahogany,medium-brown,mahogany,rosewood,mahogany,brown,brown,brown,brown
