0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
coffee,coffee,coffee,brown,coffee,coffee,coffee,brown,brown,brown,brown,brown,rosewood,mahogany,brass,mahogany,mahogany,mahogany,mahogany,mahogany,moss-green,medium-brown,medium-brown,medium-brown,medium-brown,medium-brown,medium-brown,medium-brown,rosewood,mahogany,mahogany,mahogany,mahogany,mahogany,mahogany,brass,mahogany,rosewood,brown,brown,brown,brown,brown,brown,coffee,coffee,coffee,brown,coffee,coffee
coffee,coffee,coffee,brown,coffee,coffee,coffee,brown,brown,brown,brown,moss-green,mahogany,brass,mahogany,mahogany,mahogany,mahogany,mahogany,brass,medium-brown,rosewood,moss-green,moss-green,medium-brown,medium-brown,moss-green,moss-green,brass,medium-brown,rosewood,mahogany,mahogany,mahogany,mahogany,mahogany,brass,mahogany,rosewood,brown,brown,brown,brown,brown,brown,coffee,coffee,brown,coffee,coffee
coffee,coffee,coffee,brown,coffee,coffee,coffee,brown,brown,brown,mahogany,moss-green,rosewood,moss-green,mahogany,mahogany,mahogany,moss-green,medium-brown,rosewood,mahogany,mahogany,mahogany,medium-brown,moss-green,brass,brass,mahogany,mahogany,moss-green,medium-brown,brass,mahogany,mahogany,mahogany,mahogany,rosewood,rosewood,moss-green,mahogany,brown,brown,brown,brown,brown,coffee,coffee,brown,coffee,coffee
coffee,coffee,coffee,brown,coffee,coffee,coffee,brown,brown,brown,rosewood,mahogany,brass,mahogany,mahogany,mahogany,mahogany,medium-brown,moss-green,mahogany,mahogany,mahogany,brass,brass,mahogany,mahogany,medium-brown,moss-green,mahogany,mahogany,mahogany,brass,brass,mahogany,mahogany,mahogany,mahogany,brass,mahogany,rosewood,brown,brown,brown,brown,brown,coffee,coffee,brown,coffee,coffee
coffee,coffee,coffee,brown,coffee,coffee,coffee,brown,brown,brown,moss-green,rosewood,moss-green,mahogany,mahogany,mahogany,brass,rosewood,mahogany,mahogany,mahogany,moss-green,medium-brown,mahogany,mahogany,mahogany,moss-green,brass,mahogany,mahogany,mahogany,mahogany,medium-brown,moss-green,mahogany,mahogany,mahogany,moss-green,rosewood,moss-green,brown,brown,brown,brown,brown,coffee,coffee,brown,coffee,coffee
coffee,coffee,coffee,brown,coffee,coffee,brown,brown,brown,mahogany,mahogany,brass,mahogany,mahogany,mahogany,moss-green,medium-brown,mahogany,mahogany,mahogany,mahogany,medium-brown,moss-green,mahogany,mahogany,mahogany,mahogany,brass,moss-green,mahogany,mahogany,mahogany,moss-green,medium-brown,mahogany,mahogany,mahogany,mahogany,brass,mahogany,moss-green,brown,brown,brown,brown,brown,brown,brown,coffee,coffee
coffee,coffee,coffee,brown,coffee,coffee,brown,brown,brown,rosewood,moss-green,medium-brown,moss-green,mahogany,mahogany,medium-brown,moss-green,mahogany,mahogany,mahogany,rosewood,medium-brown,mahogany,mahogany,mahogany,mahogany,mahogany,moss-green,medium-brown,mahogany,mahogany,mahogany,mahogany,brass,rosewood,mahogany,mahogany,moss-green,medium-brown,moss-green,rosewood,brown,brown,brown,brown,brown,brown,brown,coffee,coffee
coffee,coffee,coffee,brown,coffee,coffee,brown,brown,mahogany,brass,rosewood,moss-green,brass,medium-brown,moss-green,medium-brown,mahogany,mahogany,mahogany,mahogany,medium-brown,medium-brown,medium-brown,medium-brown,medium-brown,medium-brown,brass,brass,medium-brown,rosewood,mahogany,mahogany,mahogany,moss-green,brass,moss-green,brass,rosewood,moss-green,rosewood,brass,mahogany,brown,brown,brown,brown,brown,brown,coffee,coffee
coffee,coffee,coffee,brown,coffee,coffee,brown,brown,brass,mahogany,brown,mahogany,mahogany,moss-green,medium-brown,medium-brown,mahogany,mahogany,mahogany,brass,medium-brown,brass,rosewood,medium-brown,medium-brown,medium-brown,medium-brown,moss-green,medium-brown,medium-brown,mahogany,mahogany,mahogany,mahogany,medium-brown,brass,mahogany,mahogany,mahogany,mahogany,moss-green,brass,brown,brown,brown,brown,coffee,brown,coffee,coffee
coffee,coffee,coffee,brown,coffee,coffee,brown,mahogany,rosewood,brown,brown,mahogany,mahogany,mahogany,brass,brass,mahogany,mahogany,moss-green,medium-brown,rosewood,medium-brown,medium-brown,moss-green,mahogany,mahogany,rosewood,medium-brown,medium-brown,medium-brown,brass,mahogany,mahogany,mahogany,medium-brown,rosewood,mahogany,mahogany,mahogany,mahogany,mahogany,brass,mahogany,brown,brown,brown,brown,brown,coffee,coffee
coffee,coffee,coffee,brown,coffee,coffee,brown,mahogany,moss-green,brown,brown,mahogany,mahogany,mahogany,rosewood,medium-brown,mahogany,mahogany,medium-brown,moss-green,rosewood,medium-brown,rosewood,mahogany,mahogany,mahogany,mahogany,medium-brown,medium-brown,moss-green,medium-brown,moss-green,mahogany,mahogany,medium-brown,medium-brown,brass,brass,brass,brass,brass,brass,mahogany,brown,brown,brown,coffee,brown,coffee,coffee
coffee,coffee,coffee,brown,coffee,coffee,brown,mahogany,rosewood,brown,brown,brown,mahogany,mahogany,brass,medium-brown,mahogany,rosewood,brass,mahogany,rosewood,medium-brown,moss-green,mahogany,mahogany,mahogany,mahogany,brass,medium-brown,moss-green,rosewood,brass,mahogany,mahogany,medium-brown,rosewood,mahogany,mahogany,mahogany,brown,brown,rosewood,brown,brown,brown,brown,coffee,brown,coffee,coffee
coffee,coffee,coffee,brown,coffee,coffee,brown,brown,brass,moss-green,brown,mahogany,mahogany,rosewood,brass,medium-brown,rosewood,medium-brown,mahogany,mahogany,rosewood,medium-brown,brass,mahogany,mahogany,mahogany,moss-green,medium-brown,brass,moss-green,mahogany,brass,rosewood,rosewood,medium-brown,medium-brown,moss-green,mahogany,mahogany,brown,moss-green,rosewood,brown,brown,brown,coffee,coffee,brown,coffee,coffee
coffee,coffee,coffee,brown,coffee,coffee,coffee,brown,brown,rosewood,brass,brass,brass,brass,mahogany,rosewood,medium-brown,rosewood,mahogany,mahogany,rosewood,rosewood,rosewood,medium-brown,brass,brass,medium-brown,moss-green,brass,moss-green,mahogany,moss-green,medium-brown,medium-brown,moss-green,moss-green,medium-brown,brass,brass,brass,brass,brown,brown,brown,brown,coffee,coffee,brown,coffee,coffee
coffee,coffee,coffee,brown,coffee,coffee,brown,brown,brown,mahogany,mahogany,brass,mahogany,mahogany,mahogany,mahogany,medium-brown,medium-brown,medium-brown,medium-brown,medium-brown,medium-brown,medium-brown,medium-brown,medium-brown,medium-brown,medium-brown,medium-brown,medium-brown,medium-brown,medium-brown,medium-brown,medium-brown,medium-brown,mahogany,mahogany,mahogany,rosewood,brass,moss-green,mahogany,brown,brown,brown,brown,coffee,coffee,coffee,coffee,coffee
coffee,coffee,coffee,brown,coffee,coffee,coffee,brown,brown,brown,moss-green,moss-green,rosewood,mahogany,mahogany,mahogany,rosewood,medium-brown,moss-green,moss-green,mahogany,moss-green,moss-green,moss-green,moss-green,moss-green,moss-green,moss-green,moss-green,moss-green,mahogany,moss-green,medium-brown,moss-green,mahogany,mahogany,mahogany,rosewood,moss-green,rosewood,brown,brown,brown,brown,brown,coffee,coffee,brown,coffee,coffee
coffee,coffee,coffee,brown,coffee,coffee,coffee,brown,brown,brown,moss-green,mahogany,brass,mahogany,mahogany,mahogany,mahogany,medium-brown,brass,mahogany,mahogany,mahogany,mahogany,mahogany,mahogany,mahogany,mahogany,mahogany,mahogany,mahogany,mahogany,brass,brass,mahogany,mahogany,mahogany,mahogany,brass,mahogany,rosewood,brown,brown,brown,brown,coffee,coffee,coffee,brown,coffee,coffee
coffee,coffee,coffee,brown,coffee,coffee,coffee,brown,brown,brown,brown,moss-green,moss-green,brass,mahogany,mahogany,mahogany,moss-green,medium-brown,medium-brown,mahogany,mahogany,mahogany,mahogany,mahogany,mahogany,mahogany,mahogany,mahogany,moss-green,brass,brass,mahogany,mahogany,mahogany,mahogany,brass,mahogany,rosewood,mahogany,brown,brown,brown,brown,coffee,coffee,coffee,brown,coffee,coffee
coffee,coffee,coffee,brown,coffee,coffee,coffee,coffee,brown,brown,brown,mahogany,moss-green,brass,moss-green,mahogany,mahogany,mahogany,mahogany,brass,medium-brown,rosewood,moss-green,mahogany,mahogany,mahogany,mahogany,moss-green,brass,medium-brown,rosewood,mahogany,mahogany,mahogany,mahogany,moss-green,rosewood,mahogany,moss-green,brown,brown,brown,brown,brown,coffee,coffee,coffee,brown,coffee,coffee
coffee,coffee,coffee,brown,coffee,coffee,coffee,coffee,brown,brown,brown,brown,rosewood,mahogany,medium-brown,moss-green,mahogany,mahogany,mahogany,mahogany,moss-green,brass,medium-brown,medium-brown,medium-brown,medium-brown,medium-brown,medium-brown,brass,mahogany,mahogany,mahogany,mahogany,mahogany,moss-green,brass,mahogany,rosewood,brown,brown,brown,brown,brown,coffee,coffee,coffee,coffee,coffee,coffee,coffee
coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,brown,brown,brown,brown,rosewood,mahogany,brass,moss-green,mahogany,mahogany,mahogany,mahogany,mahogany,moss-green,medium-brown,medium-brown,medium-brown,medium-brown,moss-green,mahogany,mahogany,mahogany,mahogany,mahogany,rosewood,brass,mahogany,rosewood,brown,brown,brown,brown,brown,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee
coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,brown,brown,brown,brown,mahogany,rosewood,mahogany,brass,brass,mahogany,mahogany,mahogany,moss-green,medium-brown,moss-green,rosewood,moss-green,moss-green,medium-brown,mahogany,mahogany,mahogany,mahogany,brass,rosewood,mahogany,rosewood,brown,brown,brown,brown,brown,brown,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee
coffee,coffee,coffee,brown,coffee,coffee,coffee,coffee,coffee,brown,brown,brown,brown,brown,brown,rosewood,moss-green,moss-green,medium-brown,rosewood,moss-green,brass,moss-green,mahogany,rosewood,moss-green,mahogany,moss-green,rosewood,moss-green,brass,brass,mahogany,mahogany,mahogany,brown,brown,brown,brown,brown,brown,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee
coffee,coffee,coffee,brown,coffee,coffee,coffee,coffee,coffee,coffee,brown,brown,brown,brown,brown,brown,mahogany,rosewood,mahogany,moss-green,brass,medium-brown,brass,rosewood,brass,brass,rosewood,brass,brass,rosewood,moss-green,mahogany,moss-green,mahogany,brown,brown,brown,brown,brown,brown,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee
coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,brown,brown,brown,brown,brown,brown,moss-green,rosewood,moss-green,brass,moss-green,moss-green,brass,rosewood,moss-green,mahogany,brass,moss-green,moss-green,mahogany,brown,brown,brown,brown,brown,brown,brown,brown,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee
coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,brown,brown,brown,brown,brown,brown,brown,brown,mahogany,rosewood,rosewood,brown,rosewood,moss-green,brown,rosewood,moss-green,brown,brown,brown,brown,brown,brown,brown,brown,brown,brown,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee
coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,brown,brown,brown,brown,brown,brown,brown,brown,brass,rosewood,rosewood,rosewood,rosewood,rosewood,brown,brown,brown,brown,brown,brown,brown,brown,brown,brown,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee
coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,brown,brown,brown,brown,brown,brown,brown,moss-green,rosewood,rosewood,moss-green,brown,brown,brown,brown,brown,brown,brown,brown,brown,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee
coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,brown,brown,brown,brown,brown,brown,brown,brown,brown,brown,brown,brown,brown,brown,brown,brown,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee
coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,brown,brown,brown,brown,brown,brown,brown,brown,brown,brown,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee
coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee
coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee
coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,brown,brown,brown,brown,brown,coffee,coffee,brown,brown,brown,brown,brown,brown,brown,brown,coffee,brown,brown,brown,brown,brown,brown,brown,coffee,coffee,coffee,coffee,coffee,brown,brown,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee
coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee
coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee,coffee
