color,strings,packages
antique-brass,2,0.00625
brass,250,0.78125
brown,1232,3.85
coffee,2547,7.959375
mahogany,868,2.7125
medium-brown,358,1.11875
moss-green,225,0.703125
rosewood,143,0.446875
