color,strings,packages
antique-brass,4,0.0125
black,1583,4.946875
dark-green,2,0.00625
dark-grey,16,0.05
grey,41,0.128125
kelly-green,1,0.003125
lavender,39,0.121875
light-lavender,2,0.00625
medium-grey,43,0.134375
pewter,6,0.01875
very-light-blue,259,0.809375
white,32,0.1
