,0
0,antique-brass
1,black
2,blue-violet
3,brass
4,bright-red
5,bright-yellow
6,burgundy
7,coffee
8,cornflower
9,dark-green
10,dark-grey
11,dark-lavender
12,dark-red
13,grey
14,kelly-green
15,lavender
16,light-aqua
17,light-blue
18,light-lavender
19,light-orange
20,light-teal
21,lime
22,medium-brown
23,medium-grey
24,orange
25,pewter
26,red
27,sea-green
28,spring-green
29,straw-yellow
30,terra-cotta
31,yellow
