color,strings,packages
antique-brass,1,0.003125
black,2,0.00625
dark-grey,12,0.0375
grey,39,0.121875
lavender,50,0.15625
light-lavender,26,0.08125
medium-grey,24,0.075
pale-pink,7,0.021875
pewter,1,0.003125
pink,12,0.0375
very-light-blue,196,0.6125
white,10,0.03125
