,0
0,antique-brass
1,black
2,brass
3,bronze
4,dark-beige
5,dark-green
6,dark-grey
7,ecru
8,grey
9,lavender
10,light-lavender
11,light-straw
12,medium-brown
13,medium-gold
14,medium-grey
15,moss-green
16,pale-gold
17,pale-sage
18,pale-yellow
19,pewter
20,straw-yellow
21,vanilla
22,very-light-blue
23,white
24,yellow
