color,strings,packages
antique-brass,0,0.0
black,520,1.625
brass,0,0.0
bronze,0,0.0
dark-beige,0,0.0
dark-green,0,0.0
dark-grey,0,0.0
ecru,0,0.0
grey,0,0.0
lavender,0,0.0
light-lavender,0,0.0
light-straw,0,0.0
medium-brown,0,0.0
medium-gold,0,0.0
medium-grey,0,0.0
moss-green,0,0.0
pale-gold,0,0.0
pale-sage,0,0.0
pale-yellow,0,0.0
pewter,0,0.0
straw-yellow,875,2.734375
vanilla,0,0.0
very-light-blue,0,0.0
white,2205,6.890625
yellow,0,0.0
