,0
0,antique-brass
1,black
2,brass
3,brown
4,burgundy
5,coffee
6,dark-coral
7,dark-grey
8,dark-pink
9,dark-red
10,dark-rose
11,ecru
12,grey
13,lavender
14,light-lavender
15,light-rose
16,mahogany
17,medium-brown
18,medium-grey
19,orange
20,pale-pink
21,pewter
22,pink
23,salmon
24,terra-cotta
25,very-light-blue
26,white
