color,strings,packages
antique-brass,2,0.00625
brass,6,0.01875
bronze,31,0.096875
dark-beige,26,0.08125
dark-tan,25,0.078125
grey,3,0.009375
lavender,3,0.009375
light-lavender,9,0.028125
light-rose,3,0.009375
medium-brown,33,0.103125
medium-gold,39,0.121875
medium-grey,1,0.003125
pale-gold,87,0.271875
pale-peach,1,0.003125
pale-pink,2,0.00625
pale-sage,7,0.021875
pink,2,0.00625
rosewood,18,0.05625
salmon,9,0.028125
very-light-blue,83,0.259375
white,10,0.03125
