,0
0,antique-brass
1,brass
2,bronze
3,dark-beige
4,dark-tan
5,grey
6,lavender
7,light-lavender
8,light-rose
9,medium-brown
10,medium-gold
11,medium-grey
12,pale-gold
13,pale-peach
14,pale-pink
15,pale-sage
16,pink
17,rosewood
18,salmon
19,very-light-blue
20,white
