,0
0,antique-brass
1,black
2,blue-violet
3,brass
4,bronze
5,dark-beige
6,dark-grey
7,dark-lavender
8,dark-purple
9,green
10,grey
11,kelly-green
12,lavender
13,light-aqua
14,light-lavender
15,mahogany
16,medium-brown
17,medium-forest-green
18,medium-grey
19,moss-green
20,pewter
21,rainforest
22,rosewood
23,sea-green
24,terra-cotta
25,very-light-blue
26,white
