color,strings,packages
antique-brass,12,0.0375
dark-grey,104,0.325
grey,13,0.040625
lavender,10,0.03125
light-lavender,3,0.009375
medium-grey,40,0.125
very-light-blue,116,0.3625
white,2,0.00625
